,Cols
0,app_linkage
1,layer.ip.ip.dsfield.dscp
2,layer.ip.ip.dsfield.ecn
3,layer.ip.ip.flags.df
4,layer.ip.ip.flags.mf
5,layer.ip.ip.frag_offset
6,layer.ip.ip.hdr_len
7,layer.ip.ip.id
8,layer.ip.ip.len
9,layer.ip.ip.proto
10,layer.ip.ip.ttl
11,layer.udp._ws.expert.message
12,layer.udp._ws.expert.severity
13,layer.udp.udp.dstport
14,layer.udp.udp.length
15,layer.udp.udp.srcport
16,layer.icmp._ws.expert.message
17,layer.icmp._ws.expert.severity
18,layer.icmp.icmp.code
19,layer.tcp._ws.expert.message
20,layer.tcp._ws.expert.severity
21,layer.tcp.tcp.analysis.bytes_in_flight
22,layer.tcp.tcp.analysis.fast_retransmission
23,layer.tcp.tcp.analysis.lost_segment
24,layer.tcp.tcp.analysis.retransmission
25,layer.tcp.tcp.analysis.rto
26,layer.tcp.tcp.analysis.rto_frame
27,layer.tcp.tcp.analysis.spurious_retransmission
28,layer.tcp.tcp.analysis.tfo_syn
29,layer.tcp.tcp.analysis.window_full
30,layer.tcp.tcp.analysis.window_update
31,layer.tcp.tcp.analysis.zero_window
32,layer.tcp.tcp.connection.rst
33,layer.tcp.tcp.connection.syn
34,layer.tcp.tcp.dstport
35,layer.tcp.tcp.flags.ack
36,layer.tcp.tcp.flags.cwr
37,layer.tcp.tcp.flags.ecn
38,layer.tcp.tcp.flags.fin
39,layer.tcp.tcp.flags.push
40,layer.tcp.tcp.flags.reset
41,layer.tcp.tcp.flags.syn
42,layer.tcp.tcp.flags.urg
43,layer.tcp.tcp.hdr_len
44,layer.tcp.tcp.len
45,layer.tcp.tcp.option_kind
46,layer.tcp.tcp.option_len
47,layer.tcp.tcp.options.sack_perm
48,layer.tcp.tcp.srcport
49,alert.category
